energy,cubicRoot,strain,alphaJutzi,pressure
0.210976,0.000000,0.000144,1.000000,-2619697.000000
0.292218,0.072163,0.000031,1.000000,-443195.400000
0.660457,1.000000,0.000000,1.000000,-493283700.000000
0.971047,1.000000,0.000000,1.000000,-3210757000.000000
0.194895,1.000000,0.000000,1.000000,-739686000.000000
2.492520,0.000000,0.000022,1.000000,-524399.900000
5.314379,1.000000,0.000000,1.000000,505789.100000
1.795325,0.000000,0.000055,1.000000,619407.900000
1.063052,0.000000,0.000011,1.000000,2778309.000000
0.478001,0.000000,0.000044,1.000000,-2989.406000
-0.013621,0.000000,0.000009,1.000000,100256.800000
0.346818,0.000000,0.000007,1.000000,428879.300000
0.484028,0.000000,0.000011,1.000000,495462.300000
0.477938,0.000000,0.000024,1.000000,638860.600000
0.184065,0.008508,0.000019,1.000000,854441.200000
1.014478,0.000000,0.000037,1.000000,1985792.000000
-0.525318,0.005365,0.000013,1.000000,2570039.000000
1.092881,0.000000,0.000006,1.000000,6713458.000000
5.060470,0.000000,0.000146,1.000000,1752376.000000
4.067005,0.000000,0.000023,1.000000,10133120.000000
0.698499,0.000000,0.000011,1.000000,5408633.000000
0.373050,0.000000,0.000085,1.000000,558975.600000
0.224118,0.000000,-0.000005,1.000000,2580588.000000
-0.435346,0.000000,0.000007,1.000000,1943791.000000
-0.511574,0.000000,0.000006,1.000000,2983367.000000
-0.370598,0.000000,0.000004,1.000000,2244350.000000
-0.122763,0.017665,0.000003,1.000000,1228711.000000
-0.160734,0.000000,-0.000001,1.000000,863449.200000
-0.646058,0.014876,0.000010,1.000000,453817.000000
-0.542283,0.000000,0.000025,1.000000,37075.680000
-0.272046,0.000000,0.000018,1.000000,197750.000000
-0.093870,0.000000,0.000019,1.000000,-90694.530000
-0.347520,0.000000,0.000011,1.000000,606440.100000
-0.939406,0.000000,0.000122,1.000000,-1781589.000000
-0.898684,0.000000,0.000062,1.000000,-284050.700000
-0.584443,0.000000,0.000004,1.000000,1491535.000000
1.105779,0.066667,0.000008,1.000000,1009960.000000
1.675678,0.100000,0.000012,1.000000,589097.300000
2.142245,1.000000,0.000000,1.000000,261210.000000
0.682495,0.000000,0.000017,1.000000,542278.200000
-0.219390,0.000000,0.000044,1.000000,298245.100000
-0.174628,0.000000,0.000050,1.000000,937540.000000
-0.943582,0.000000,0.000051,1.000000,632939.300000
0.189816,0.067317,0.000002,1.000000,2318507.000000
0.643448,1.000000,0.000000,1.000000,-344557400.000000
0.672552,1.000000,0.000000,1.000000,-640906100.000000
0.365557,0.001133,0.000009,1.000000,-182550.100000
0.457414,1.000000,0.000000,1.000000,-10003130.000000
0.861529,0.000000,0.000093,1.000000,-1748214.000000
0.645153,0.000000,0.000003,1.000000,2061122.000000
0.385673,0.000000,0.000006,1.000000,2422383.000000
0.883673,1.000000,0.000000,1.000000,-417872800.000000
0.967284,1.000000,0.000000,1.000000,-2496502000.000000
0.898766,1.000000,0.000000,1.000000,-111820000.000000
0.810389,0.000000,0.000018,1.000000,-263690.000000
0.870786,0.000000,0.000026,1.000000,-421877.700000
0.916021,1.000000,0.000000,1.000000,-176221600.000000
0.732471,1.000000,0.000000,1.000000,-2593385000.000000
0.558405,1.000000,0.000000,1.000000,-2237542000.000000
0.654291,1.000000,0.000000,1.000000,-2988180000.000000
0.758872,1.000000,0.000000,1.000000,-242132000.000000
-0.189965,0.000000,0.000018,1.000000,-173502.400000
-0.095844,0.000000,0.000014,1.000000,362333.700000
0.578310,0.000000,0.000005,1.000000,172990.500000
0.628752,1.000000,0.000000,1.000000,-691048200.000000
1.141463,1.000000,0.000000,1.000000,-614085500.000000
-0.731198,0.000000,0.000029,1.000000,-175611.400000
-1.255138,0.000000,0.000081,1.000000,80184.560000
0.928841,0.000000,0.000008,1.000000,1993220.000000
0.536824,1.000000,0.000000,1.000000,474056.800000
1.735557,1.000000,0.000000,1.000000,245005.400000
0.367472,0.003207,0.000014,1.000000,530188.900000
-1.008279,0.000000,0.000010,1.000000,2475328.000000
-1.916286,0.000000,0.000009,1.000000,2930440.000000
-0.305915,0.000000,0.000003,1.000000,921461.800000
0.969344,0.000000,0.000006,1.000000,802343.800000
1.970048,0.000000,0.000020,1.000000,555860.700000
2.881147,1.000000,0.000000,1.000000,270617.700000
0.902655,0.067464,0.000076,1.000000,-191058.600000
0.930384,0.000000,0.000009,1.000000,3914260.000000
0.785168,0.067206,0.000001,1.000000,1870773.000000
0.645563,0.000000,0.000031,1.000000,725468.700000
0.827437,0.000000,0.000036,1.000000,908596.200000
1.660345,0.000000,0.000027,1.000000,1692186.000000
2.465017,0.000000,0.000093,1.000000,542154.300000
3.405131,0.000000,0.000031,1.000000,2390165.000000
3.584496,0.000000,0.000022,1.000000,3626675.000000
1.973588,0.000000,0.000020,1.000000,2746965.000000
1.229780,0.000000,0.000005,1.000000,2373495.000000
0.803806,0.000000,0.000012,1.000000,1875611.000000
0.480025,0.000000,0.000008,1.000000,1565672.000000
0.253599,0.000000,0.000017,1.000000,1345843.000000
0.222393,0.000000,0.000010,1.000000,1328529.000000
0.278485,0.003925,0.000004,1.000000,1116974.000000
0.212088,0.000000,0.000031,1.000000,710791.300000
0.024511,0.000000,0.000019,1.000000,2852084.000000
0.138804,0.000000,0.000032,1.000000,2264568.000000
2.579281,1.000000,0.000000,1.000000,604221.200000
4.194031,1.000000,0.000000,1.000000,-32319930.000000
1.063647,0.000000,0.000019,1.000000,1590749.000000
0.627651,0.000000,0.000011,1.000000,2291636.000000
0.532180,0.000000,-0.000001,1.000000,1152981.000000
0.027895,0.000000,0.000012,1.000000,88865.880000
0.476555,0.000000,0.000021,1.000000,832246.100000
-0.893092,0.000000,0.000059,1.000000,1917312.000000
0.278642,0.000000,0.000041,1.000000,5371093.000000
2.566316,0.064499,0.000098,1.000000,467548.500000
9.811106,0.018052,0.000051,1.000000,-225706.500000
7.672073,0.000000,0.000010,1.000000,693559.200000
-0.765640,0.000000,0.000015,1.000000,-205862.100000
1.447918,1.000000,0.000000,1.000000,-1853769000.000000
0.881777,1.000000,0.000000,1.000000,-3616742000.000000
1.267101,1.000000,0.000000,1.000000,-951337400.000000
-0.312015,1.000000,0.000000,1.000000,-102935600.000000
0.917337,1.000000,0.000000,1.000000,-72462470.000000
-1.320647,0.000000,0.000098,1.000000,-812012.200000
-4.443590,0.000000,0.000021,1.000000,126235.400000
0.708169,1.000000,0.000000,1.000000,-76859770.000000
1.157221,1.000000,0.000000,1.000000,-2193668000.000000
1.420979,1.000000,0.000000,1.000000,-2209494000.000000
1.831371,0.067536,0.000004,1.000000,-90388.110000
3.059108,1.000000,0.000000,1.000000,-1323655000.000000
-0.144248,1.000000,0.000000,1.000000,-440958500.000000
-0.726459,0.066667,0.000094,1.000000,-1403657.000000
0.895735,0.000000,0.000105,1.000000,-1516024.000000
0.516649,0.000000,0.000004,1.000000,522783.800000
0.079609,0.000000,0.000003,1.000000,525110.200000
0.296139,0.000000,0.000008,1.000000,253463.500000
0.011398,0.000000,0.000023,1.000000,461297.200000
0.574980,0.000000,0.000021,1.000000,1291924.000000
0.304248,0.000000,0.000040,1.000000,350296.700000
1.942784,0.000000,0.000090,1.000000,1445411.000000
1.087077,0.000000,0.000023,1.000000,2168164.000000
1.407389,1.000000,0.000000,1.000000,-145501700.000000
3.892199,1.000000,0.000000,1.000000,-64949480.000000
0.200293,0.071429,0.000198,1.000000,-5098175.000000
-0.412781,0.000000,0.000015,1.000000,806466.700000
-0.147755,0.000000,0.000016,1.000000,1400233.000000
-0.063890,0.000000,0.000012,1.000000,1082700.000000
0.245424,0.000000,0.000012,1.000000,1463129.000000
-0.084684,0.000000,0.000023,1.000000,629104.400000
0.246683,0.000000,0.000009,1.000000,1003567.000000
0.305666,0.000000,0.000027,1.000000,510136.200000
0.054980,0.000000,0.000024,1.000000,151029.700000
0.143658,0.000000,0.000003,1.000000,430758.900000
0.182316,0.000000,-0.000002,1.000000,792008.300000
0.319217,0.000000,0.000011,1.000000,252656.100000
-0.308683,0.000000,0.000020,1.000000,393759.200000
0.059261,0.000000,0.000029,1.000000,412405.800000
1.100766,0.000000,0.000013,1.000000,949013.100000
0.699287,0.000000,0.000008,1.000000,572789.500000
0.218936,0.067115,0.000032,1.000000,-605509.100000
0.273436,0.001423,0.000024,1.000000,-336337.100000
0.978544,1.000000,0.000000,1.000000,-3332495.000000
1.586820,1.000000,0.000000,1.000000,-6710332.000000
-0.021920,0.000000,0.000022,1.000000,-157078.700000
0.018774,0.000000,0.000056,1.000000,-903182.900000
-0.434873,0.000000,0.000051,1.000000,10109.030000
0.199271,0.000000,0.000041,1.000000,-807132.700000
-0.161549,0.000000,0.000008,1.000000,-141955.100000
