energy,cubicRoot,strain,alphaJutzi,pressure
1049.945000,1.000000,0.000000,1.000000,-2289421000.000000
2640.206000,1.000000,0.000000,1.000000,-6577442000.000000
625.547600,1.000000,0.000000,1.000000,-929210000.000000
1637.037000,1.000000,0.000000,1.000000,-2487807000.000000
1470.243000,1.000000,0.000000,1.000000,-6662713000.000000
2193.765000,1.000000,0.000000,1.000000,-2329224000.000000
1969.343000,1.000000,0.000000,1.000000,-6410705000.000000
837.814800,1.000000,0.000000,1.000000,-1131395000.000000
1391.833000,1.000000,0.000000,1.000000,-1338328000.000000
127049.200000,1.000000,0.000000,1.000000,-4526087000.000000
332.768400,1.000000,0.000000,1.000000,-1802583000.000000
1224.193000,1.000000,0.000000,1.000000,-1725639000.000000
330.068700,1.000000,0.000000,1.000000,-919495400.000000
444.454600,1.000000,0.000000,1.000000,-1358135000.000000
12112.840000,1.000000,0.000000,1.000000,-5630015000.000000
416.965600,1.000000,0.000000,1.000000,-894345300.000000
135.848600,1.000000,0.000000,1.000000,-778985100.000000
6617.349000,1.000000,0.000000,1.000000,-4703545000.000000
3634.163000,1.000000,0.000000,1.000000,-6308301000.000000
401.118000,1.000000,0.000000,1.000000,-2107612000.000000
971.489600,1.000000,0.000000,1.000000,-1127532000.000000
629837.800000,1.000000,0.000000,1.000000,-4640965000.000000
1048.259000,1.000000,0.000000,1.000000,-2291346000.000000
484.045900,1.000000,0.000000,1.000000,-2651405000.000000
165.440100,1.000000,0.000000,1.000000,-1310441000.000000
94006.560000,1.000000,0.000000,1.000000,-6264997000.000000
256.662000,1.000000,0.000000,1.000000,-1500281000.000000
21657.700000,1.000000,0.000000,1.000000,-5966027000.000000
2885.331000,1.000000,0.000000,1.000000,-6553175000.000000
2444.231000,1.000000,0.000000,1.000000,-6649071000.000000
2399.797000,1.000000,0.000000,1.000000,-6665084000.000000
992.311100,1.000000,0.000000,1.000000,-2505629000.000000
104962.600000,1.000000,0.000000,1.000000,-6090617000.000000
8210.660000,1.000000,0.000000,1.000000,-5664522000.000000
369.403800,1.000000,0.000000,1.000000,-1783223000.000000
780.109200,1.000000,0.000000,1.000000,-2331208000.000000
491.378100,1.000000,0.000000,1.000000,-737918100.000000
1025.967000,1.000000,0.000000,1.000000,-2748121000.000000
461.842500,1.000000,0.000000,1.000000,-2290397000.000000
4347.885000,1.000000,0.000000,1.000000,-6505766000.000000
1435.151000,1.000000,0.000000,1.000000,-6260152000.000000
999.579600,1.000000,0.000000,1.000000,-1096900000.000000
7765.863000,1.000000,0.000000,1.000000,-2966157000.000000
753.347400,1.000000,0.000000,1.000000,-1510631000.000000
6394.993000,1.000000,0.000000,1.000000,-2232789000.000000
1138.494000,1.000000,0.000000,1.000000,-5170716000.000000
1899.585000,1.000000,0.000000,1.000000,-1914096000.000000
1767.509000,1.000000,0.000000,1.000000,-3741432000.000000
736.111300,1.000000,0.000000,1.000000,-6671934000.000000
729.980200,1.000000,0.000000,1.000000,-1649173000.000000
1027.624000,1.000000,0.000000,1.000000,-888999100.000000
3296.435000,1.000000,0.000000,1.000000,-2675153000.000000
9261.663000,1.000000,0.000000,1.000000,-6649972000.000000
72417.910000,1.000000,0.000000,1.000000,-4492110000.000000
1337.093000,1.000000,0.000000,1.000000,-5213044000.000000
1287.333000,1.000000,0.000000,1.000000,-1714053000.000000
2561.959000,1.000000,0.000000,1.000000,-5626554000.000000
2571.195000,1.000000,0.000000,1.000000,-6636275000.000000
956.983100,1.000000,0.000000,1.000000,-1599136000.000000
290.856300,1.000000,0.000000,1.000000,-1419658000.000000
6884.035000,1.000000,0.000000,1.000000,-465862100.000000
1048.370000,1.000000,0.000000,1.000000,-2768268000.000000
311.213400,1.000000,0.000000,1.000000,-1110869000.000000
4820.049000,1.000000,0.000000,1.000000,-3952325000.000000
268.838900,1.000000,0.000000,1.000000,-1031316000.000000
1044.564000,1.000000,0.000000,1.000000,-830538000.000000
369.459300,1.000000,0.000000,1.000000,-908131500.000000
1156.031000,1.000000,0.000000,1.000000,-1372432000.000000
625.389800,1.000000,0.000000,1.000000,-4306613000.000000
24075.210000,1.000000,0.000000,1.000000,-5194661000.000000
792.011800,1.000000,0.000000,1.000000,-1743790000.000000
283.653200,1.000000,0.000000,1.000000,-2344922000.000000
763.750800,1.000000,0.000000,1.000000,-2796966000.000000
27547.930000,1.000000,0.000000,1.000000,-6039183000.000000
387.156300,1.000000,0.000000,1.000000,-722036400.000000
