energy,cubicRoot,strain,alphaJutzi,pressure
135.384800,1.000000,0.000000,1.000000,-291245000.000000
1736.784000,1.000000,0.000000,1.000000,-3261106000.000000
43.483870,1.000000,0.000000,1.000000,-393040900.000000
20.892240,1.000000,0.000000,1.000000,-247362500.000000
167.787600,1.000000,0.000000,1.000000,-1669489000.000000
88.832360,1.000000,0.000000,1.000000,-1032355000.000000
42.120150,1.000000,0.000000,1.000000,-259508500.000000
1471.651000,1.000000,0.000000,1.000000,-810663400.000000
62.801550,1.000000,0.000000,1.000000,-430936700.000000
16.314650,1.000000,0.000000,1.000000,-133429500.000000
104193.000000,1.000000,0.000000,1.000000,-5083346000.000000
143.771600,1.000000,0.000000,1.000000,-1237046000.000000
633.567500,1.000000,0.000000,1.000000,-4684016000.000000
877.832700,1.000000,0.000000,1.000000,-2753722000.000000
17.660580,1.000000,0.000000,1.000000,-210738500.000000
1036.397000,1.000000,0.000000,1.000000,-358053600.000000
97.267830,1.000000,0.000000,1.000000,-1201369000.000000
994.902700,1.000000,0.000000,1.000000,-2475607000.000000
150.983900,1.000000,0.000000,1.000000,-17563000.000000
124.633400,1.000000,0.000000,1.000000,-326262700.000000
144.302100,1.000000,0.000000,1.000000,-615315900.000000
182.914700,1.000000,0.000000,1.000000,-4086504000.000000
99.890250,1.000000,0.000000,1.000000,-1457575000.000000
60.284700,1.000000,0.000000,1.000000,-931082200.000000
126.231800,1.000000,0.000000,1.000000,-1729926000.000000
156.327000,1.000000,0.000000,1.000000,-929899900.000000
73.035220,1.000000,0.000000,1.000000,-148913000.000000
146.504600,1.000000,0.000000,1.000000,-4382644000.000000
9506.349000,1.000000,0.000000,1.000000,-4981346000.000000
725.838400,1.000000,0.000000,1.000000,-351961300.000000
334.324000,1.000000,0.000000,1.000000,-1759760000.000000
50.314310,1.000000,0.000000,1.000000,-230045900.000000
35609.450000,1.000000,0.000000,1.000000,-5986176000.000000
1466.483000,1.000000,0.000000,1.000000,-6608637000.000000
132.274000,1.000000,0.000000,1.000000,-4374729000.000000
44.584000,1.000000,0.000000,1.000000,-598822300.000000
98.610620,1.000000,0.000000,1.000000,-517706800.000000
27.562320,1.000000,0.000000,1.000000,-305080800.000000
171.468100,1.000000,0.000000,1.000000,-195226400.000000
460.983100,1.000000,0.000000,1.000000,-2139597000.000000
30.495220,1.000000,0.000000,1.000000,-1358440000.000000
245.396900,1.000000,0.000000,1.000000,-436089000.000000
